"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,96132925,"BobbyFi (1/50)",0,162.90,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(C) Russell Martin ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jose Altuve ,(OF) Mike Trout ,(OF) Adam Eaton ,(SS) Francisco Lindor "
2,96266721,"Nyrangerfan4578 (2/50)",0,161.90,"(OF) Brandon Moss ,(C) Russell Martin ,(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Chase Headley ,(1B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor "
3,96238216,"MJordan23 (1/50)",0,161.00,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jose Altuve ,(C) Yan Gomes ,(SS) Francisco Lindor "
3,96261892,"Tolpeko (4/50)",0,161.00,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jose Altuve ,(C) Yan Gomes ,(SS) Francisco Lindor "
5,96253404,"jdd1811 (2/50)",0,159.30,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) Michael Brantley ,(3B) Carlos Santana ,(OF) Chris Colabello ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(SS) Francisco Lindor ,(P) Lance McCullers "
5,96275520,"kpitty22 (1/50)",0,159.30,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) Michael Brantley ,(3B) Carlos Santana ,(OF) Chris Colabello ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(SS) Francisco Lindor ,(P) Lance McCullers "
7,96239215,"underjones (4/50)",0,157.00,"(1B) Ryan Howard ,(OF) Brandon Moss ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jose Pirela ,(C) Yan Gomes ,(SS) Francisco Lindor "
8,96273661,"fvacc23 (1/50)",0,156.90,"(OF) Brandon Moss ,(OF) Michael Brantley ,(P) Marco Estrada ,(1B) Carlos Santana ,(3B) Josh Donaldson ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(OF) Adam Eaton ,(SS) Francisco Lindor "
9,96272143,"Tolpeko (8/50)",0,154.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(OF) Michael Bourn ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Chase Headley ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(SS) Francisco Lindor "
10,96237876,"loveai (1/50)",0,153.90,"(C) Dioner Navarro ,(OF) Rajai Davis ,(1B) Brandon Moss ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) J.D. Martinez ,(SS) Francisco Lindor "
11,96256352,"youdacao (8/50)",0,153.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) John Ryan Murphy ,(OF) Preston Tucker ,(SS) Francisco Lindor "
11,96256354,"youdacao (10/50)",0,153.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) John Ryan Murphy ,(OF) Preston Tucker ,(SS) Francisco Lindor "
13,96247772,"Tolpeko (2/50)",0,152.00,"(OF) Garrett Jones ,(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(SS) Francisco Lindor "
13,96256353,"youdacao (9/50)",0,152.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Colby Rasmus ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) John Ryan Murphy ,(SS) Francisco Lindor "
15,96225097,"discodave18 (1/50)",0,151.90,"(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Carlos Santana ,(OF) Chris Colabello ,(P) Chris Sale ,(2B) Jason Kipnis ,(1B) Jose Abreu ,(C) Yan Gomes ,(SS) Francisco Lindor "
16,96174218,"Cwatson51 (1/50)",0,150.90,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) Colby Rasmus ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(SS) Carlos Correa "
17,96269459,"akg44 (1/50)",0,150.00,"(1B) Adam LaRoche ,(OF) Chris Young ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Brett Gardner ,(3B) Carlos Santana ,(C) Hank Conger ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor "
18,96221362,"LucasDellabate (1/50)",0,149.90,"(C) Dioner Navarro ,(OF) Brandon Moss ,(OF) Chris Young ,(OF) Michael Brantley ,(P) Marco Estrada ,(1B) Carlos Santana ,(3B) Josh Donaldson ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor "
18,96238368,"JimL04 (1/50)",0,149.90,"(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(1B) Carlos Santana ,(3B) Josh Donaldson ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(OF) Kole Calhoun ,(SS) Francisco Lindor "
18,96247117,"cjs5555 (1/50)",0,149.90,"(1B) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) Mike Trout ,(C) John Ryan Murphy ,(SS) Francisco Lindor "
18,96251159,"cubenudger (1/50)",0,149.90,"(1B) Ryan Howard ,(C) Russell Martin ,(OF) David Murphy ,(OF) Colby Rasmus ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor "
22,96255749,"topher79 (2/50)",0,149.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) Joey Butler ,(C) Yan Gomes ,(OF) Adam Eaton ,(SS) Francisco Lindor "
23,96270756,"cjkalt (5/50)",0,148.90,"(SS) Jose Reyes ,(1B) Adam LaRoche ,(OF) Jose Bautista ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(OF) Adam Eaton ,(OF) Kevin Pillar "
24,96270897,"Mikeluschen1 (1/50)",0,148.00,"(1B) Ryan Howard ,(OF) Chris Young ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) John Ryan Murphy ,(SS) Francisco Lindor "
25,96185128,"2GIDDYGIDDIES (1/50)",0,147.90,"(OF) Jose Bautista ,(C) Dioner Navarro ,(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Chase Headley ,(1B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor "
25,96187599,"Ptskills (3/50)",0,147.90,"(OF) Brandon Moss ,(OF) Michael Brantley ,(P) Marco Estrada ,(1B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) J.D. Martinez ,(C) Bryan Holaday ,(3B) Maikel Franco ,(SS) Francisco Lindor "
25,96234665,"hotmajik (2/50)",0,147.90,"(1B) Edwin Encarnacion ,(C) Dioner Navarro ,(OF) David Murphy ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) J.D. Martinez ,(SS) Francisco Lindor ,(OF) Yoenis Cespedes "
28,96249716,"hogwild20 (1/50)",0,146.90,"(C) Dioner Navarro ,(1B) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Josh Donaldson ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) J.D. Martinez ,(SS) Francisco Lindor "
29,96236735,"EMSBRO (1/50)",0,146.30,"(1B) Adam LaRoche ,(C) Dioner Navarro ,(OF) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor ,(P) Lance McCullers "
29,96281568,"thinktank (1/50)",0,146.30,"(1B) Adam LaRoche ,(C) Dioner Navarro ,(OF) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor ,(P) Lance McCullers "
