Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
8,96743898,scout326 (5/Unl.),0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Jung Ho Kang "
21,96726129,naapstermaan (18/Unl.),0,172.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
22,96730826,tbleidt889 (1/Unl.),0,171.95,"(2B) Brandon Phillips ,(OF) Andrew McCutchen ,(OF) Colby Rasmus ,(1B) Todd Frazier ,(SS) Pete Kozma ,(C) Jason Castro ,(P) Lance Lynn ,(P) Dallas Keuchel ,(3B) Matt Carpenter ,(OF) George Springer "
23,96734052,bigboyd3 (2/Unl.),0,170.95,"(2B) Brandon Phillips ,(C) Brayan Pena ,(OF) Skip Schumaker ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
23,96737213,msiler10 (1/Unl.),0,170.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(C) Jason Castro ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
23,96742419,RAiNxOVERxYOU (7/Unl.),0,170.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(C) Jason Castro ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
23,96745998,msiler10 (2/Unl.),0,170.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(C) Jason Castro ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
27,96739422,Beatdown123 (1/Unl.),0,170.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Yadier Molina ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Adeiny Hechavarria "
28,96706601,billysink (1/Unl.),0,169.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(OF) Marcell Ozuna ,(SS) Carlos Correa "
28,96722916,johnnys1320 (1/Unl.),0,169.95,"(OF) Colby Rasmus ,(C) Francisco Cervelli ,(P) Lance Lynn ,(3B) Josh Harrison ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(1B) Evan Gattis ,(OF) Preston Tucker ,(SS) Jung Ho Kang "
