"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
20,96713825,"Snuff67 (1/Unl.)",0,157.75,"(3B) Luis Valbuena ,(OF) Jason Heyward ,(1B) Todd Frazier ,(P) Anthony DeSclafani ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) Gregory Polanco ,(SS) Adeiny Hechavarria ,(C) J.T. Realmuto "
20,96730404,"msteenstra (4/Unl.)",0,157.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Jung Ho Kang "
20,96732011,"glennmac23 (2/Unl.)",0,157.75,"(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Josh Harrison ,(P) Anthony DeSclafani ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
23,96628268,"Nemesis3 (1/Unl.)",0,155.95,"(1B) Mark Reynolds ,(C) Francisco Cervelli ,(OF) Jason Heyward ,(P) Lance Lynn ,(OF) Josh Harrison ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(3B) Adeiny Hechavarria ,(SS) Carlos Correa "
24,96719978,"shadiabu (1/Unl.)",0,155.75,"(1B) Joey Votto ,(OF) Chris Young ,(C) Francisco Cervelli ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Anthony DeSclafani ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Carlos Correa "
24,96722738,"produceman09 (3/Unl.)",0,155.75,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Anthony DeSclafani ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Carlos Correa "
26,96712484,"DestinDon (2/Unl.)",0,154.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(P) Dan Haren ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
27,96697985,"Swalstad30 (1/Unl.)",0,153.75,"(1B) Joey Votto ,(OF) Jon Jay ,(3B) Todd Frazier ,(P) Anthony DeSclafani ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(C) J.T. Realmuto ,(OF) Preston Tucker ,(SS) Carlos Correa "
28,96622159,"gmking50 (1/Unl.)",0,153.55,"(P) A.J. Burnett ,(C) Francisco Cervelli ,(OF) Jason Heyward ,(1B) Todd Frazier ,(OF) Giancarlo Stanton ,(2B) Kolten Wong ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(3B) Adeiny Hechavarria ,(OF) Preston Tucker "
29,96728966,"Dougtrio (1/Unl.)",0,152.95,"(C) Brayan Pena ,(1B) Joey Votto ,(2B) Neil Walker ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(SS) Jordy Mercer ,(P) Dallas Keuchel ,(OF) Gregory Polanco ,(OF) Preston Tucker "
30,96713821,"jgolfer33 (1/Unl.)",0,152.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(P) Dan Haren ,(OF) Andrew McCutchen ,(1B) Todd Frazier ,(3B) Josh Harrison ,(P) Dallas Keuchel ,(OF) George Springer ,(C) J.T. Realmuto ,(SS) Jung Ho Kang "
