"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,96198712,"sdwalk11 (1/Unl.)",0,172.90,"(1B) Adam LaRoche ,(OF) David Murphy ,(OF) Michael Brantley ,(OF) Brett Gardner ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(SS) Francisco Lindor "
2,96238230,"MJordan23 (1/Unl.)",0,161.00,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jose Altuve ,(C) Yan Gomes ,(SS) Francisco Lindor "
3,96259424,"jdd1811 (2/Unl.)",0,159.30,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) Michael Brantley ,(3B) Carlos Santana ,(OF) Chris Colabello ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(SS) Francisco Lindor ,(P) Lance McCullers "
4,96239224,"underjones (4/Unl.)",0,157.00,"(1B) Ryan Howard ,(OF) Brandon Moss ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jose Pirela ,(C) Yan Gomes ,(SS) Francisco Lindor "
5,96250942,"slushfundx (2/Unl.)",0,156.00,"(1B) Adam LaRoche ,(OF) Brandon Moss ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Logan Forsythe ,(C) Yan Gomes ,(SS) Francisco Lindor "
6,96258954,"slushfundx (1/Unl.)",0,154.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Logan Forsythe ,(C) Yan Gomes ,(OF) Kevin Kiermaier ,(SS) Francisco Lindor "
7,96273049,"Thecap77 (1/Unl.)",0,153.90,"(OF) Brandon Moss ,(OF) Michael Brantley ,(P) Marco Estrada ,(1B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(3B) Maikel Franco ,(OF) Kevin Pillar ,(SS) Francisco Lindor "
8,96255680,"Mazz33 (2/Unl.)",0,153.10,"(1B) Adam LaRoche ,(C) Russell Martin ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(2B) Jason Kipnis ,(OF) Mike Trout ,(OF) Kole Calhoun ,(SS) Francisco Lindor ,(P) Lance McCullers "
9,96256363,"youdacao (9/Unl.)",0,153.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) John Ryan Murphy ,(OF) Preston Tucker ,(SS) Francisco Lindor "
9,96256364,"youdacao (10/Unl.)",0,153.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) John Ryan Murphy ,(OF) Preston Tucker ,(SS) Francisco Lindor "
11,96236807,"denislemieux77 (1/Unl.)",0,152.90,"(C) Dioner Navarro ,(1B) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(OF) Brett Gardner ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor "
12,96256362,"youdacao (8/Unl.)",0,152.00,"(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Colby Rasmus ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) John Ryan Murphy ,(SS) Francisco Lindor "
13,96196893,"produceman09 (1/Unl.)",0,149.90,"(C) Dioner Navarro ,(OF) Brandon Moss ,(OF) David Murphy ,(3B) Luis Valbuena ,(OF) Michael Brantley ,(P) Marco Estrada ,(1B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor "
13,96247136,"cjs5555 (1/Unl.)",0,149.90,"(1B) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) Mike Trout ,(C) John Ryan Murphy ,(SS) Francisco Lindor "
13,96269924,"snapback101 (2/Unl.)",0,149.90,"(SS) Jose Reyes ,(C) Dioner Navarro ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Chase Headley ,(1B) Carlos Santana ,(OF) Chris Colabello ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) Adam Eaton "
16,96199474,"buckeye0728 (3/Unl.)",0,149.00,"(OF) Brandon Moss ,(C) Russell Martin ,(OF) Michael Brantley ,(OF) Brett Gardner ,(P) Marco Estrada ,(1B) Carlos Santana ,(2B) Jason Kipnis ,(3B) Maikel Franco ,(SS) Francisco Lindor ,(P) Lance McCullers "
17,96270785,"cjkalt (5/Unl.)",0,148.90,"(SS) Jose Reyes ,(1B) Adam LaRoche ,(OF) Jose Bautista ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(C) Yan Gomes ,(OF) Adam Eaton ,(OF) Kevin Pillar "
17,96271795,"britdevine (1/Unl.)",0,148.90,"(C) Dioner Navarro ,(1B) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) Kole Calhoun ,(SS) Francisco Lindor "
19,96154295,"Ramsforever (1/Unl.)",0,148.10,"(1B) Brandon Moss ,(P) Carlos Carrasco ,(C) Kurt Suzuki ,(OF) Michael Brantley ,(OF) Brett Gardner ,(3B) Carlos Santana ,(2B) Jason Kipnis ,(OF) Mike Trout ,(SS) Francisco Lindor ,(P) Lance McCullers "
20,96281484,"bpoe13 (4/Unl.)",0,148.00,"(3B) Alex Rodriguez ,(1B) Adam LaRoche ,(OF) David Murphy ,(P) Carlos Carrasco ,(OF) Michael Brantley ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Jose Pirela ,(C) Yan Gomes ,(OF) Preston Tucker "
21,96270277,"Rmurph3 (1/Unl.)",0,147.90,"(SS) Jose Reyes ,(C) Dioner Navarro ,(OF) David Murphy ,(OF) Michael Brantley ,(P) Marco Estrada ,(3B) Chase Headley ,(1B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(OF) J.D. Martinez "
22,96245025,"EMSBRO (1/Unl.)",0,146.30,"(1B) Adam LaRoche ,(C) Dioner Navarro ,(OF) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor ,(P) Lance McCullers "
22,96281539,"thinktank (1/Unl.)",0,146.30,"(1B) Adam LaRoche ,(C) Dioner Navarro ,(OF) Brandon Moss ,(OF) David Murphy ,(OF) Michael Brantley ,(3B) Carlos Santana ,(P) Chris Sale ,(2B) Jason Kipnis ,(SS) Francisco Lindor ,(P) Lance McCullers "
